"first_seen_utc","ioc_id","ioc_value","ioc_type","threat_type","fk_malware","malware_alias","malware_printable","last_seen_utc","confidence_level","reference","tags","anonymous","reporter"
"2026-02-17 03:00:41","""1749770""","""premium303202101-62037.portmap.host""","""domain""","""botnet_cc""","""win.quasar_rat""","""CinaRAT","QuasarRAT","Yggdrasil""","""Quasar RAT""","""""","""100""","""False""","""https://tria.ge/260217-c61s8adw4h"""
"2026-02-17 03:00:40","""1749769""","""service.viewdns.net""","""domain""","""botnet_cc""","""win.quasar_rat""","""CinaRAT","QuasarRAT","Yggdrasil""","""Quasar RAT""","""""","""100""","""False""","""https://tria.ge/260217-dbvjdsdx4d"""
"2026-02-17 02:10:15","""1749538""","""greenpark.urbanharvest.coupons""","""domain""","""payload_delivery""","""js.clearfake""","""None""","""ClearFake""","""2026-02-17 02:11:25""","""100""","""False""","""None""","""ClearFake""","""0"""
"2026-02-17 01:16:58","""1749534""","""citylight.urbanharvest.coupons""","""domain""","""payload_delivery""","""js.clearfake""","""None""","""ClearFake""","""2026-02-17 01:17:32""","""100""","""False""","""None""","""ClearFake""","""0"""
"2026-02-17 01:12:26","""1749533""","""openfield.swiftmotion.coupons""","""domain""","""payload_delivery""","""js.clearfake""","""None""","""ClearFake""","""2026-02-17 01:14:12""","""100""","""False""","""None""","""ClearFake""","""0"""
"2026-02-17 01:09:49","""1749530""","""fastsky.swiftmotion.coupons""","""domain""","""payload_delivery""","""js.clearfake""","""None""","""ClearFake""","""2026-02-17 01:11:02""","""100""","""False""","""None""","""ClearFake""","""0"""
"2026-02-17 01:05:53","""1749529""","""darkriver.swiftmotion.coupons""","""domain""","""payload_delivery""","""js.clearfake""","""None""","""ClearFake""","""2026-02-17 01:06:54""","""100""","""False""","""None""","""ClearFake""","""0"""
"2026-02-17 00:42:19","""1749527""","""freshbreeze.sandbox-proxy-diagnostic.coupons""","""domain""","""payload_delivery""","""js.clearfake""","""None""","""ClearFake""","""2026-02-17 00:43:11""","""100""","""False""","""None""","""ClearFake""","""0"""
"2026-02-17 00:35:45","""1749526""","""redstone.sandbox-proxy-diagnostic.coupons""","""domain""","""payload_delivery""","""js.clearfake""","""None""","""ClearFake""","""2026-02-17 00:37:04""","""100""","""False""","""None""","""ClearFake""","""0"""
"2026-02-17 00:29:16","""1749525""","""smartcloud.sandbox-proxy-diagnostic.coupons""","""domain""","""payload_delivery""","""js.clearfake""","""None""","""ClearFake""","""2026-02-17 00:30:29""","""100""","""False""","""None""","""ClearFake""","""0"""
